>OSTLU_14894
3.A.1.205.11 - Evalue: 5.14353E-43	[TI3000980, TI3001052, TI3000983]
3.A.1.205.7 - Evalue: 7.15346E-46	[TO3000822, TI3000155, TI3000154, TI3000153, TO3000819, TI3000156, TO3000820, TO3000821]
3.A.1.204.7 - Evalue: 4.4714E-77	[TI3000155, TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.204.6 - Evalue: 1.56807E-67	[TI3001395, TI3000681, TI3000278, TI3000046, TI3001400]
3.A.1.205.5 - Evalue: 5.13785E-45	[TO3000823, TI3000157]
3.A.1.204.5 - Evalue: 6.19391E-69	[TI3001395, TI3001662, TI3000681, TI3000278, TI3000046, TI3001400]
3.A.1.205.4 - Evalue: 2.64974E-43	[TI3001319, TI3001117, TI3000068, TI3001278, TI3001113, TI3001236, TI3001313, TI3001120, TI3001087, TI3000272, TI3001286, TI3000270, TI3001320, TI3001089, TI3001122, TI3000071, TI3000154, TI3000275, TI3001360, TI3000274, TI3000697, TI3001349, TI3001223, TI3001267, TI3001303, TI3002122, TI3001079, TI3001139, TI3001339, TI3000288, TI3001219, TI3001256, TI3000689, TI3001340, TI3000294, TI3000690, TI3000293, TI3001221, TI3001067, TI3001343, TI3001060, TI3000279, TI3001129, TI3000278, TI3001328, TI3000157, TI3000277, TI3001245, TI3001168, TI3001322, TI3001296, TI3000283, TI3001175, TI3000282, TI3001254, TI3001332, TI3000280, TI3000287, TI3001094, TI3001293, TI3000286, TI3001295, TI3001290, TI3001093]
3.A.1.205.23 - Evalue: 3.32578E-49	[TO3002292, TO3002280, TO3002287, TO3002110, TO3002286, TO3002285, TO3002274, TO3002273, TI3001942, TI3000696, TO3001155, TI3002136, TI3002137, TI3001650, TI3002124, TI3002135, TI3002140, TI3002130, TI3002142, TO3002290]
3.A.1.205.3 - Evalue: 3.13363E-45	[TI3000309, TI3000429, TI3000308, TI3000307, TI3000428, TI3000302, TI3000423, TI3000422, TI3000421, TI3000306, TI3000427, TI3000305, TI3000425, TI3000304, TI3000424, TI3000393, TI3000392, TI3000390, TI3000430, TI3000396, TI3000419, TI3000417, TI3000412, TI3000411, TI3000377, TI3000410, TI3000416, TI3000414, TI3000413, TI3000382, TI3000381, TI3000380, TI3000386, TI3000385, TI3000384, TI3000383, TI3000329, TI3000324, TI3000444, TI3000443, TI3000321, TI3000442, TI3000449, TI3000328, TI3000448, TI3000327, TI3000447, TI3000326, TI3000446, TI3000331, TI3000330, TI3000450, TI3000319, TI3000318, TI3000439, TI3000313, TI3000434, TI3000433, TI3000312, TI3000311, TI3000432, TI3000431, TI3000310, TI3000438, TI3000317, TI3000437, TI3000316, TI3000436, TI3000314, TI3000320, TI3000441, TI3000440, TI3000346, TI3000466, TI3000465, TI3000464, TI3000349, TI3000348, TI3000469, TI3000347, TI3000353, TI3000352, TI3000351, TI3000456, TI3000455, TI3000334, TI3000454, TI3000332, TI3000453, TI3000338, TI3000459, TI3000337, TI3000458, TI3000336, TI3000457, TI3000342, TI3000463, TI3000462, TI3000341, TI3000340, TI3000460, TI3000408, TI3000407, TI3000406, TI3000401, TI3000368, TI3000367, TI3000400, TI3000366, TI3000404, TI3000403, TI3000369, TI3000402, TI3000371, TI3000370, TI3000374, TI3000373, TI3000372, TI3000357, TI3000355, TI3000354, TI3000359, TI3000358, TI3000360, TI3000364, TI3000362, TI3000361]
3.A.1.205.22 - Evalue: 1.87105E-50	[TO3000780, TO3000783, TI3000115, TO3000784, TI3000114, TO3000781, TI3000113, TO3000782, TI3000112, TO3000787, TO3000785, TI3000117, TO3000786, TI3000116, TI3000111, TI3000110]
3.A.1.205.2 - Evalue: 3.91332E-46	[TI3001238, TI3001118, TI3001119, TI3001113, TI3001288, TI3001167, TI3000111, TI3000110, TI3001086, TI3001308, TI3001348, TI3001305, TI3001108, TI3001102, TI3001069, TI3001105, TI3001351, TI3001077, TI3001155, TI3001232, TI3001233, TI3001112, TI3001194, TI3001073, TI3001272, TI3001151, TI3001196, TI3001139, TI3001216, TI3000046, TI3001212, TI3001135, TI3001187, TI3001067, TI3001188, TI3001061, TI3001182, TI3001183, TI3001140, TI3000115, TI3000114, TI3000113, TI3000112, TI3001168, TI3001289, TI3001125, TI3001246, TI3000117, TI3001204, TI3000116, TI3001252, TI3001099, TI3001056, TI3001255, TI3001134, TI3001211, TI3001172, TI3001250, TI3001090, TI3001291, TI3001170]
3.A.1.204.2 - Evalue: 3.76483E-90	[TO3001161, TO3001160, TO3000350, TO3001162, TI3000148, TO3000696, TI3000147, TO3000773, TO3000572, TI3000145, TI3000046, TI3000689, TI3000690, TI3000694, TI3000693, TI3000692, TI3000296, TI3000691, TO3001154, TO3001158, TI3000697, TO3001157, TO3001156, TI3000696, TI3000695, TO3001155, TO3001159, TO3000758, TO3000638, TI3000141]
3.A.1.205.25 - Evalue: 3.52727E-50	[TI3001917, TI3001919, TI3001914, TI3001915, TI3001916, TI3001910, TI3001911, TI3001912, TI3001484, TI3001485, TI3001907, TI3001908, TI3001903, TI3001905, TI3001900, TI3001818, TI3001939, TI3001815, TI3001816, TI3001817, TI3001938, TI3001811, TI3001812, TI3001934, TI3001807, TI3001808, TI3001803, TI3001804, TI3001805, TI3001926, TI3001806, TI3001800, TI3001922, TI3001923, TI3001487, TI3001488, TI3001489, TI3001491, TI3001715, TI3001716, TI3001958, TI3001959, TI3001711, TI3001953, TI3001832, TI3001712, TI3001954, TI3001955, TI3001713, TI3001834, TI3001714, TI3001956, TI3002004, TI3001951, TI3001831, TI3001710, TI3001952, TI3002007, TI3002012, TI3001708, TI3001829, TI3001946, TI3001826, TI3001705, TI3001947, TI3001948, TI3001827, TI3001828, TI3001949, TI3001700, TI3001942, TI3001943, TI3001823, TI3001824, TI3001945, TI3001820, TI3001941, TI3002000, TI3002002, TI3002003, TI3001737, TI3001979, TI3001858, TI3001738, TI3001854, TI3001975, TI3001733, TI3001976, TI3001855, TI3001734, TI3001735, TI3001736, TI3001857, TI3001850, TI3002027, TI3001851, TI3002028, TI3001852, TI3001731, TI3001732, TI3001853, TI3002033, TI3002034, TI3001980, TI3002036, TI3001981, TI3001860, TI3002030, TI3002031, TI3002032, TI3001847, TI3001969, TI3001727, TI3001729, TI3001964, TI3001722, TI3001843, TI3002019, TI3001723, TI3001844, TI3001845, TI3001725, TI3001846, TI3001960, TI3001961, TI3001720, TI3002017, TI3001841, TI3001842, TI3002018, TI3001721, TI3002022, TI3002025, TI3002021, TI3001759, TI3001997, TI3001755, TI3001876, TI3001877, TI3001998, TI3001999, TI3001757, TI3001758, TI3001993, TI3002048, TI3001873, TI3001752, TI3001994, TI3002049, TI3001995, TI3001753, TI3001875, TI3001996, TI3001880, TI3001760, TI3001882, TI3001761, TI3002052, TI3002050, TI3001748, TI3001986, TI3001744, TI3001865, TI3001745, TI3001746, TI3001988, TI3001867, TI3001989, TI3001740, TI3001982, TI3001861, TI3001983, TI3001741, TI3002038, TI3001862, TI3001863, TI3002039, TI3001742, TI3001743, TI3001985, TI3001990, TI3001870, TI3002046, TI3001750, TI3002047, TI3002043, TI3001777, TI3001778, TI3001899, TI3001779, TI3001773, TI3001894, TI3001895, TI3001775, TI3001897, TI3001413, TI3001781, TI3001782, TI3001887, TI3001766, TI3001767, TI3001888, TI3001768, TI3001769, TI3001883, TI3001762, TI3001884, TI3000437, TI3001885, TI3001886, TI3001765, TI3001890, TI3001770, TI3001771, TI3001650, TI3001772, TI3001893, TI3001679, TI3001795, TI3001433, TI3001675, TI3001796, TI3001435, TI3001798, TI3001681, TI3001440, TI3001683, TI3001684, TI3001784, TI3000457, TI3001424, TI3001787, TI3001671, TI3001793, TI3001673, TI3001794, TI3001698, TI3001699, TI3001460, TI3001447, TI3001689, TI3001685, TI3001686, TI3001687, TI3001688, TI3001693, TI3001694, TI3001690, TI3001691]
3.A.1.205.1 - Evalue: 9.659E-44	[TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.204.1 - Evalue: 3.9655E-102	[TI3001549, TO3001997]
3.A.1.204.12 - Evalue: 4.58734E-81	[TI3000046]
3.A.1.205.21 - Evalue: 2.38255E-48	[TI3001650]
3.A.1.205.20 - Evalue: 2.76817E-48	[TI3001650, TO3002110]
3.A.1.205.15 - Evalue: 3.50395E-46	[TO3000471, TO3000350, TO3000472, TO3000392, TO3000398, TO3000431, TO3000434, TO3000624, TO3000548, TO3000504, TO3000387, TO3000583, TO3000622, TO3000502, TO3000543, TO3000466, TO3000422, TO3000500, TO3000588, TO3000544, TO3000621, TO3000467, TO3000418, TO3000536, TO3000570, TO3000450, TO3000451, TO3000457, TO3000579, TO3000499, TO3000528, TO3000605, TO3000404, TO3000526, TO3000408, TO3000483, TO3000564, TO3000520, TO3000685, TO3000487, TO3000682, TO3000440, TO3000444, TO3000642, TO3000400, TO3000445, TO3000437, TO3000514, TO3000515, TO3000639]
3.A.1.205.18 - Evalue: 1.77931E-49	[TO3002250, TO3002252, TO3002251, TO3002258, TO3002257, TO3002256, TO3002255, TO3002239, TI3002149, TI3002154, TI3002155, TI3002156, TI3002157, TI3002150, TI3002172, TI3002173, TI3002151, TI3002152, TI3002174, TI3002171, TO3002261, TO3002242, TO3002264, TO3002241, TO3002263, TO3002240, TO3002262, TO3002247, TO3002246, TO3002245, TO3002244, TI3002158, TI3002159, TO3002249, TO3002248, TI3002165, TI3002166, TI3002167, TI3002168, TI3002161, TI3002162, TI3002160]

>OSTLU_4604
3.A.5.7.1 - Evalue: 1.16513E-30	[TR3000001, TR3000000, TR3000003]
3.A.5.7.2 - Evalue: 1.05514E-43	[TR3000001, TR3000000, TR3000003]
3.A.5.8.1 - Evalue: 2.80747E-24	[TO3000380, TO3000377, TO3000378]
3.A.5.9.1 - Evalue: 9.16164E-36	[TI3000012, TI3000033, TI3000003]
3.A.5.1.2 - Evalue: 8.90025E-112	[TR3000001, TR3000000, TR3000003]
3.A.5.2.2 - Evalue: 1.49264E-30	[TR3000001, TR3000000, TR3000003]
3.A.5.1.1 - Evalue: 1.86436E-40	[TR3000001, TR3000000, TR3000003]

>OSTLU_42057
2.A.20.2.2 - Evalue: 2.24175E-60	[TR1000009, TR1100009]
2.A.20.2.9 - Evalue: 7.71424E-34	[TO1100009, TO1000009]
2.A.20.2.13 - Evalue: 5.42554E-135	[TO1100009, TO1000009, TO1000048]
2.A.20.1.1 - Evalue: 4.16852E-9	[TI1001048, TO1100009, TO1000009, TO1000048, TO1001048]
2.A.20.2.8 - Evalue: 1.31061E-91	[TO1100009, TO1000009]

>OSTLU_2301
2.A.1.1.19 - Evalue: 5.82331E-7	[TO0000190, TO0000027, TO0019001]
2.A.1.1.17 - Evalue: 3.39867E-7	[TO0000082, TO0000190, TO0000138, TO0003014, TO0000027, TI0000027, TI0000190, TO0019001, TO0001490, TI0019001]
2.A.1.82.4 - Evalue: 1.23587E-8	[TO0000218]
2.A.1.82.2 - Evalue: 3.88827E-14	[TO0000058]
2.A.1.1.31 - Evalue: 1.10033E-6	[TI0001164, TI0001186, TI0003882, TI0003883, TI0001562, TI0003880, TI0000396, TI0005266, TI0003881, TI0001421, TI0000750, TI0003887, TI0003884, TI0000212, TI0000751, TI0000190, TI0001184, TO0000190, TI0000709, TI0022637, TI0000027, TI0000589, TI0000108, TI0000724, TI0001031, TI0003014, TI0001792, TI0001055, TO0000027, TI0002127, TI0000642, TI0003193, TI0001490, TI0005155, TI0000082, TI0025981, TI0014652, TI0000138, TI0001627, TO0019001, TI0020927, TI0001607, TI0019001]
2.A.1.82.3 - Evalue: 9.87373E-22	[TO0000038, TO0000003, TO0000002]
2.A.1.1.30 - Evalue: 6.88333E-8	[TO0000190, TO0000027, TO0000154, TO0019001]
2.A.1.19.40 - Evalue: 1.1984E-18	[TO0000266, TO0000599]
2.A.1.1.15 - Evalue: 3.94293E-10	[TI0003025, TO0000314, TI0002611, TI0008711, TO0002743, TI0001757, TI0003019, TI0000306, TO0000448, TO0021149, TO0016352, TO0000306, TI0003014, TO0021148, TO0025981, TI0025981, TO0001421, TO0001422, TI0001627, TI0000417, TI0016592, TO0001307, TI0001629, TO0016592, TI0016352, TI0001186, TO0001629, TO0016443, TI0001187, TI0001066, TI0001068, TO0000212, TI0001184, TI0021148, TO0003014, TI0021149, TI0015390, TO0003019, TO0001757, TI0001056, TI0001055, TI0001057, TI0000642, TI0001171, TI0000082, TO0003025, TO0008711, TO0002611, TO0001524, TI0001605, TI0001607, TO0001407, TO0001607, TI0001562, TI0000232, TI0011888, TI0008991, TO0001171, TO0000190, TO0001055, TO0001056, TO0001057, TI0000588, TO0000642, TI0000589, TI0000105, TI0000229, TI0000108, TI0001792, TI0000100, TI0000224, TO0000185, TO0001184, TO0001186, TO0001187, TO0001066, TO0001068, TO0020927, TI0001307, TI0020927, TO0001627, TO0000417, TI0001421, TI0000212, TI0001422, TI0016443, TO0002241, TO0001031, TO0001395, TO0002127, TO0017172, TI0000448, TI0002743, TO0000082, TO0011888, TO0001164, TO0000750, TI0001524, TO0000751, TI0000314, TI0001407, TO0019001, TO0001605, TI0000154, TI0000396, TI0001242, TI0000397, TI0000276, TI0001486, TI0000157, TO0000157, TO0000397, TO0000276, TO0000396, TO0000154, TO0000392, TI0000392, TO0001490, TI0000709, TO0005176, TO0011854, TO0011734, TO0001257, TI0000027, TI0001239, TO0000724, TI0000261, TO0022637, TI0011734, TO0000027, TI0011854, TI0005155, TO0000261, TO0001383, TO0011742, TI0000258, TI0000259, TI0000138, TI0000492, TI0005269, TI0003882, TI0003883, TI0005267, TI0003880, TI0003881, TI0005266, TI0003887, TI0003884, TI0011742, TO0000179, TI0003885, TI0005263, TO0011826, TO0011714, TO0005155, TI0022637, TI0001458, TI0000368, TI0017172, TO0001239, TO0000709, TI0000366, TI0001698, TI0003193, TO0001242, TO0001486, TO0000832, TI0019001, TI0001164, TI0000750, TI0000751, TO0000232, TI0000190, TO0003193, TI0023469, TO0001698, TO0001458, TI0001395, TI0001031, TI0002241, TO0000108, TI0000185, TO0000229, TO0000105, TI0002127, TO0000224, TO0000100, TO0005263, TO0005266, TO0005267, TO0003881, TO0000492, TO0003880, TI0014652, TO0003883, TO0003882, TO0003885, TO0003884, TO0005269, TO0003887, TO0014652, TI0011826, TI0001383, TO0000259, TO0000138, TO0000258, TI0000179, TO0001792, TO0000588, TO0015390, TO0000589, TI0000724, TI0011714, TO0000368, TO0023469, TI0001257, TO0000366, TI0001490, TI0005176, TO0008991, TO0001562, TI0000832]
2.A.1.19.41 - Evalue: 2.14256E-45	[TO0000266, TO0010719]
2.A.1.82.1 - Evalue: 4.70777E-19	[TO0000058]
2.A.1.19.20 - Evalue: 6.1289E-16	[TI0000454, TO0000454]
2.A.1.19.43 - Evalue: 1.60459E-81	[TO0023944, TO0023943, TO0000740]
2.A.1.19.11 - Evalue: 1.40865E-23	[TI0008438, TI0003387, TI0000075, TI0003166, TI0000099, TI0000012, TI0000552, TI0001048, TI0000532, TI0009225, TI0001281, TI0004099, TI0000150, TI0000247, TI0001414, TI0011574, TI0000009, TI0017155, TI0000966, TI0000209, TI0003396, TI0000242, TI0000001, TI0000421, TI0000300, TI0000268, TI0000048, TI0000081, TI0001622, TI0000534, TI0011684, TI0000239]
2.A.1.19.12 - Evalue: 6.6772E-38	[TO0000266]
2.A.1.19.13 - Evalue: 3.03093E-43	[TO0000266]
2.A.1.19.36 - Evalue: 1.77264E-50	[TO0023944, TO0023943, TI0023943, TI0023944, TI0000740, TO0000740]
2.A.1.19.14 - Evalue: 1.69111E-28	[TO0001022, TO0000159, TO0000300, TO0000221, TO0004570]
2.A.1.19.37 - Evalue: 3.88805E-41	[TO0023944, TO0023943, TO0000740]
2.A.1.19.15 - Evalue: 8.10887E-34	[TO0019610, TI0000036, TO0000036, TO0009255, TO0005495, TI0019610, TI0020878, TO0005177, TO0002542, TO0002469, TI0000106, TO0020878, TO0017400, TO0000106, TO0017402, TI0005515, TI0000386, TO0017404, TO0017405, TO0000386, TO0017408, TI0000180, TO0017409, TO0000180, TI0017402, TO0005385, TI0017400, TO0000571, TI0017405, TI0017404, TO0001740, TO0000652, TO0000454, TI0000216, TI0000130, TI0000571, TO0000216, TI0001740, TO0017413, TO0017412, TI0000652, TI0000454, TI0017409, TO0017417, TO0017416, TI0017408, TO0000130, TI0005385, TI0017412, TI0017413, TO0012448, TI0017416, TI0017417, TI0002469, TO0012000, TO0005515, TI0012000, TI0000041, TO0017420, TO0017421, TI0002542, TO0020871, TI0012448, TI0009255, TI0020871, TI0005177, TI0005495, TO0000041, TI0020868, TI0017421, TI0000996, TI0000599, TI0000830, TI0001006, TO0000599, TO0000830, TO0001006, TO0000996, TO0020868, TI0017420]
2.A.1.19.39 - Evalue: 3.04126E-30	[TO0023944, TO0023943, TO0000740, TO0000266, TO0010719]
2.A.1.19.17 - Evalue: 7.64523E-32	[TO0000218, TO0001022, TO0000159, TO0000300, TO0000221]
2.A.1.19.18 - Evalue: 7.96647E-21	[TO0025618, TO0025616, TO0019059, TO0021376, TO0021377, TO0014969, TO0014968, TO0014967, TO0003035, TO0003038, TO0003037, TO0001652, TO0003039, TO0000566, TO0001897, TO0000301, TO0002073, TO0003040, TO0003164, TO0011227, TO0011228, TO0003047, TO0009389, TO0014976, TO0011226, TO0001663, TO0002877, TO0002878, TO0001668, TO0001306, TO0002719, TO0017773, TO0017776, TO0017775, TO0021113, TO0021114, TO0000211, TO0003250, TO0005794, TO0005795, TO0002285, TO0002286, TO0003136, TO0002840, TO0000420, TO0003139, TO0000546, TO0000325, TO0017668, TO0024076, TO0003263, TO0003262, TO0008159, TO0014716, TO0003265, TO0001883, TO0003268, TO0001884, TO0002733, TO0002939, TO0001291, TO0001170, TO0002262, TO0001295, TO0003234, TO0003236, TO0000761, TO0003235, TO0003238, TO0003237, TO0003239, TO0000526, TO0000409, TO0017763, TO0002392, TO0003243, TO0003244, TO0002398, TO0001188, TO0003246, TO0011661, TO0001983, TO0017178, TO0008347, TO0007933, TO0003213, TO0011197, TO0011198, TO0001712, TO0011195, TO0011196, TO0000866, TO0003221, TO0003223, TO0003222, TO0002256, TO0008359, TO0002257, TO0010793, TO0000511, TO0003229, TO0000877, TO0012296, TO0007708, TO0011291, TO0001806, TO0017833, TO0017835, TO0017836, TO0005732, TO0002348, TO0017168, TO0011979, TO0011987, TO0002475, TO0003209, TO0002912, TO0001824, TO0001825, TO0000857, TO0016286, TO0016288, TO0008302, TO0001234, TO0014544, TO0012123, TO0001237, TO0002447, TO0016281, TO0016282, TO0016283, TO0005719, TO0000702, TO0016284, TO0016285, TO0016297, TO0000949, TO0017826, TO0000160, TO0003781, TO0005842, TO0001243, TO0005840, TO0005841, TO0005725, TO0014552, TO0000955, TO0005727, TO0023239, TO0023236, TO0000237, TO0023237, TO0011805, TO0014529, TO0014528, TO0001450, TO0014527, TO0014526, TO0001694, TO0014525, TO0014524, TO0014523, TO0014644, TO0014522, TO0001334, TO0014521, TO0014520, TO0004848, TO0020893, TO0010606, TO0021183, TO0014539, TO0001460, TO0014538, TO0014537, TO0002430, TO0001342, TO0014536, TO0010299, TO0014535, TO0002312, TO0014534, TO0014533, TO0002677, TO0002435, TO0014532, TO0014531, TO0014530, TO0001228, TO0003058, TO0000463, TO0002403, TO0004945, TO0002405, TO0001318, TO0000904, TO0000369, TO0000362, TO0003061, TO0003060, TO0014519, TO0014518, TO0014517, TO0014514, TO0014513, TO0000474, TO0005803, TO0005804]
2.A.1.1.108 - Evalue: 9.38779E-9	[TO0000190, TO0000138, TO0000027, TO0019001, TO0001490]
2.A.1.19.30 - Evalue: 2.1621E-46	[TI0000310, TI0002457, TO0000310, TI0008157, TI0001085, TO0011339, TI0001917, TI0012381, TO0011338, TO0003033, TI0023943, TO0002343, TO0008845, TI0023944, TO0011333, TO0011334, TO0002984, TI0011334, TO0011332, TI0011333, TI0011332, TO0001017, TO0012381, TI0011339, TI0011338, TI0000266, TI0002963, TO0000266, TO0001021, TI0020966, TO0000731, TI0000657, TO0020966, TO0011390, TI0000098, TI0008131, TI0000926, TO0011951, TO0002963, TI0011354, TI0001459, TI0000648, TO0011391, TO0023944, TO0023943, TO0001917, TI0008085, TO0021085, TO0001085, TO0008157, TO0002457, TI0011366, TI0011365, TI0011364, TI0001445, TO0008085, TI0009049, TI0002766, TO0001459, TI0000506, TO0000648, TO0000926, TI0008500, TI0000740, TI0008189, TI0001391, TO0008131, TI0011380, TI0002917, TO0011388, TO0011389, TI0011389, TO0011386, TO0011387, TI0011388, TI0000731, TI0011387, TO0011385, TI0011386, TI0011385, TO0000657, TO0011380, TI0001021, TO0002917, TO0000098, TO0008189, TO0001391, TI0011391, TO0008500, TI0011390, TO0000740, TO0011354, TI0001017, TO0002766, TO0000506, TI0008845, TI0003033, TI0002343, TI0002984, TI0011951, TI0021085, TO0009049, TO0011366, TO0011364, TO0001445, TO0011365]
2.A.1.19.31 - Evalue: 4.86168E-44	[TO0000300]
2.A.1.19.10 - Evalue: 8.46164E-24	[TI0001098, TI0000186, TI0002774, TI0000023, TI0006845, TI0000300, TI0000971]
2.A.1.19.25 - Evalue: 7.91659E-36	[TO0004182]
2.A.1.19.8 - Evalue: 1.36104E-9	[TO0023944, TO0023943, TI0023943, TI0023944, TI0000740, TO0000740]
2.A.1.19.26 - Evalue: 1.06345E-21	[TO0017155, TO0000239, TO0000012, TO0000099, TO0000075, TO0000150, TO0003396, TO0000421, TO0011574, TO0001414, TO0000966, TO0000209, TO0000009, TO0000268, TO0000048, TO0000001, TO0000242, TO0001281, TO0004099, TO0000081, TO0003166, TO0003387, TO0008438, TO0009225, TO0000552, TO0001048, TO0000532, TO0011684, TO0001622, TO0000534]
2.A.1.19.49 - Evalue: 2.95737E-30	[TO0000190, TO0000027, TO0019001]
2.A.1.19.2 - Evalue: 4.02809E-43	[TO0023944, TO0023943, TO0000740]
2.A.1.19.1 - Evalue: 1.02136E-43	[TO0019973, TO0019974, TO0000317, TO0008042, TO0009132, TO0009133, TO0009134, TO0008046, TO0009131, TO0003032, TO0008841, TO0001096, TO0008840, TO0012548, TO0012427, TO0000680, TO0009136, TO0004246, TO0009379, TO0004245, TO0009137, TO0008845, TO0009138, TO0009139, TO0004247, TO0008849, TO0001896, TO0000687, TO0011451, TO0011330, TO0002869, TO0000305, TO0000304, TO0016479, TO0009143, TO0009141, TO0002197, TO0004255, TO0008850, TO0009147, TO0004257, TO0009148, TO0005107, TO0000577, TO0001303, TO0007527, TO0004815, TO0016470, TO0004817, TO0001628, TO0000419, TO0000218, TO0000215, TO0017537, TO0000330, TO0009476, TO0004220, TO0004461, TO0001198, TO0004344, TO0008823, TO0001631, TO0001995, TO0004227, TO0008826, TO0000667, TO0000328, TO0000201, TO0009122, TO0009123, TO0009124, TO0009480, TO0011319, TO0009483, TO0011328, TO0004230, TO0001085, TO0004233, TO0011326, TO0009924, TO0008157, TO0008835, TO0011324, TO0011325, TO0011322, TO0011323, TO0000674, TO0003029, TO0001401, TO0011321, TO0000679, TO0002737, TO0002738, TO0016547, TO0005095, TO0004563, TO0004201, TO0008806, TO0008809, TO0008807, TO0019941, TO0019942, TO0019943, TO0024298, TO0009465, TO0008131, TO0004210, TO0011668, TO0000895, TO0008816, TO0024849, TO0020106, TO0020107, TO0001271, TO0001151, TO0012844, TO0001156, TO0001036, TO0004426, TO0000621, TO0012286, TO0024834, TO0017985, TO0021201, TO0017984, TO0017987, TO0017986, TO0017989, TO0005082, TO0017988, TO0000087, TO0011405, TO0011402, TO0003224, TO0000631, TO0003226, TO0006977, TO0013387, TO0020108, TO0011170, TO0017710, TO0004082, TO0017958, TO0004084, TO0008563, TO0000393, TO0005052, TO0008560, TO0004087, TO0004882, TO0004089, TO0001132, TO0011974, TO0001375, TO0001255, TO0001256, TO0011177, TO0011297, TO0019465, TO0019900, TO0019901, TO0004091, TO0000266, TO0004090, TO0019902, TO0009300, TO0000263, TO0000384, TO0004092, TO0004095, TO0001388, TO0001025, TO0005627, TO0019464, TO0000615, TO0000936, TO0000059, TO0008783, TO0004183, TO0008782, TO0008780, TO0008787, TO0008786, TO0005036, TO0004065, TO0017809, TO0001350, TO0008785, TO0004189, TO0004067, TO0008784, TO0011951, TO0008789, TO0012368, TO0008788, TO0017940, TO0017700, TO0019206, TO0008790, TO0017705, TO0004070, TO0004194, TO0017707, TO0017706, TO0008793, TO0008792, TO0017709, TO0017708, TO0008791, TO0008796, TO0008795, TO0004199, TO0009765, TO0014556, TO0004878, TO0019562, TO0019896, TO0019897, TO0009171, TO0019898, TO0009176, TO0008085, TO0009177, TO0009178, TO0009850, TO0009179, TO0010719, TO0008881, TO0009173, TO0009174, TO0020083, TO0009175, TO0009855, TO0008764, TO0008884, TO0006227, TO0003872, TO0009851, TO0010049, TO0009852, TO0011930, TO0004960, TO0009853, TO0001332, TO0009854, TO0001214, TO0003515, TO0001337, TO0019893, TO0017486, TO0017485, TO0009180, TO0009181, TO0017488, TO0009182, TO0017487, TO0000104, TO0017489, TO0000345, TO0020097, TO0009188, TO0009189, TO0017804, TO0000220, TO0020098, TO0020099, TO0017803, TO0017806, TO0009183, TO0008893, TO0009184, TO0017805, TO0017808, TO0004173, TO0017928, TO0017807, TO0011944, TO0011945, TO0008894, TO0004298, TO0000493, TO0004056, TO0001343, TO0002555, TO0001104, TO0003523, TO0002679, TO0017484, TO0004818, TO0009391, TO0000016, TO0024302, TO0021031, TO0009154, TO0009155, TO0000133, TO0021154, TO0003292, TO0004020, TO0003173, TO0021030, TO0003296, TO0004263, TO0004142, TO0004144, TO0001791, TO0004147, TO0001430, TO0011358, TO0004028, TO0003973, TO0001310, TO0003972, TO0003975, TO0003974, TO0001313, TO0003977, TO0003976, TO0011352, TO0003979, TO0004826, TO0012560, TO0016480, TO0001316, TO0003978, TO0000125, TO0000365, TO0009166, TO0008078, TO0009284, TO0002094, TO0013429, TO0003185, TO0003980, TO0004034, TO0011368, TO0004037, TO0009169, TO0001320, TO0003981, TO0001684, TO0004038, TO0011367, TO0002655, TO0011362, TO0000478, TO0011363]
2.A.1.19.6 - Evalue: 4.4374E-44	[TO0008168, TO0002357]
