reference	rast_only	refseq_only	transyt_only	rast_and_refseq	rast_and_transyt	refseq_and_transyt	all_combined	lineage
GCF_001660045.1	0	79	23	401	13	28	184	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces parvulus
GCF_000724605.1	0	48	7	118	3	8	51	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinotignum schaalii
GCF_000092925.1	0	106	18	481	10	11	176	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Starkeya, Starkeya novella DSM 506
GCF_000009985.1	0	72	22	264	7	11	88	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Magnetospirillum, Magnetospirillum magneticum AMB-1
GCF_001693675.1	0	85	13	359	10	19	131	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces clavuligerus
GCF_000024785.1	0	70	22	223	6	16	94	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Gordoniaceae, Gordonia, Gordonia bronchialis DSM 43247
GCF_000022145.1	0	91	25	293	2	7	60	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter, Anaeromyxobacter dehalogenans 2CP-1
GCF_000454045.1	0	114	41	415	7	17	172	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Nocardiaceae, Rhodococcus, Rhodococcus erythropolis CCM2595
GCF_000016405.1	0	65	17	355	11	8	134	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter, Rhodobacter sphaeroides ATCC 17025
GCF_000092045.1	0	93	18	604	13	17	255	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Rhizobium, Rhizobium etli CFN 42
GCF_000013005.1	0	47	16	139	5	6	48	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Erythrobacteraceae, Erythrobacter, Erythrobacter litoralis HTCC2594
GCF_000759475.1	0	73	40	257	13	31	356	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Pantoea rwandensis
GCF_000935025.1	0	104	18	268	4	19	98	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas hengshuiensis
GCF_000940805.1	0	140	23	348	15	15	154	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Saccharospirillaceae, Gynuella, Gynuella sunshinyii YC6258
GCF_000632985.1	0	19	6	43	0	1	15	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Neorickettsia, Neorickettsia helminthoeca str. Oregon
GCF_000196295.1	0	36	16	100	5	10	63	Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria, Neisseria lactamica 020-06
GCF_000218625.1	0	41	11	202	5	2	57	Bacteria, Deferribacteres, Deferribacteres, Deferribacterales, Deferribacteraceae, Flexistipes, Flexistipes sinusarabici DSM 4947
GCF_000023925.1	0	34	9	173	5	8	69	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Dermacoccaceae, Kytococcus, Kytococcus sedentarius DSM 20547
GCF_000012665.1	0	56	19	237	6	4	81	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio, Desulfovibrio alaskensis G20
GCF_001729485.1	0	112	20	403	15	23	185	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces lydicus
GCF_000961095.1	0	98	9	478	14	14	150	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus beijingensis
GCF_000008685.2	0	0	6	0	34	0	0	Bacteria, Spirochaetes, Spirochaetia, Spirochaetales, Borreliaceae, Borreliella, Borreliella burgdorferi B31
GCF_000953195.1	0	23	2	99	1	2	27	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Acholeplasmatales, Acholeplasmataceae, Acholeplasma oculi
GCF_000284095.1	0	63	10	186	4	6	98	Bacteria, Terrabacteria group, Firmicutes, Negativicutes, Selenomonadales, Selenomonadaceae, Selenomonas, Selenomonas ruminantium, Selenomonas ruminantium subsp. lactilytica TAM6421
GCF_000014965.1	0	49	17	297	9	5	63	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Syntrophobacterales, Syntrophobacteraceae, Syntrophobacter, Syntrophobacter fumaroxidans MPOB
GCF_000237995.1	0	21	7	122	7	4	87	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Pediococcus, Pediococcus claussenii ATCC BAA-344
GCF_000092265.1	0	28	15	116	5	3	50	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Moraxella, Moraxella catarrhalis BBH18
GCF_000092305.1	0	16	3	61	1	3	19	Archaea, Euryarchaeota, Methanomada group, Methanococci, Methanococcales, Methanocaldococcaceae, Methanocaldococcus, Methanocaldococcus infernus ME
GCF_000007905.1	0	47	11	92	3	7	36	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter, Helicobacter hepaticus ATCC 51449
GCF_000328705.1	0	139	21	466	19	19	141	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Saccharothrix, Saccharothrix espanaensis DSM 44229
GCF_000347595.1	0	44	20	151	11	15	140	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Bibersteinia, Bibersteinia trehalosi USDA-ARS-USMARC-192
GCF_000219355.1	0	20	3	46	5	2	25	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Candidatus Midichloriaceae, Candidatus Midichloria, Candidatus Midichloria mitochondrii IricVA
GCF_000325745.1	0	20	5	77	3	4	27	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Liberibacter, Liberibacter crescens BT-1
GCF_000327505.1	0	40	4	65	0	1	26	Archaea, Euryarchaeota, Diaforarchaea group, DHVE2 group, Aciduliprofundum, Aciduliprofundum sp. MAR08-339
GCF_000008765.1	0	0	14	0	106	0	0	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium acetobutylicum ATCC 824
GCF_000016605.1	0	40	7	125	1	2	20	Archaea, TACK group, Crenarchaeota, Thermoprotei, Sulfolobales, Sulfolobaceae, Metallosphaera, Metallosphaera sedula DSM 5348
GCF_000023865.1	0	53	17	249	7	2	82	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Saccharomonospora, Saccharomonospora viridis DSM 43017
GCF_000151105.2	0	45	5	123	2	2	32	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus, Thermococcus barophilus MP
GCF_000270305.1	0	44	4	149	5	3	52	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium sp. SY8519
GCF_000012765.1	0	8	2	51	6	0	16	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Mycoplasma, Mycoplasma mycoides group, Mycoplasma capricolum, Mycoplasma capricolum subsp. capricolum ATCC 27343
GCF_000226295.1	0	88	10	92	7	4	40	Bacteria, Acidobacteria, Blastocatellia, Chloracidobacterium, Chloracidobacterium thermophilum B
GCF_000203855.3	0	0	15	0	156	0	0	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus plantarum WCFS1
GCF_000008485.1	0	0	20	0	106	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella, Legionella pneumophila, Legionella pneumophila subsp. pneumophila str. Philadelphia 1
GCF_000016085.1	0	32	5	119	2	4	34	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobium/Pelodictyon group, Chlorobium, Chlorobium phaeovibrioides DSM 265
GCF_000270085.1	0	27	3	150	4	1	46	Bacteria, Terrabacteria group, Firmicutes, Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae, Erysipelothrix, Erysipelothrix rhusiopathiae str. Fujisawa
GCF_000009085.1	0	16	15	129	5	1	54	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter, Campylobacter jejuni, Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
GCF_000016325.1	0	76	68	213	15	39	427	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Enterobacter, Enterobacter sp. 638
GCF_000011905.1	0	16	4	78	0	2	16	Bacteria, Terrabacteria group, Chloroflexi, Dehalococcoidia, Dehalococcoidales, Dehalococcoidaceae, Dehalococcoides, Dehalococcoides mccartyi 195
GCF_000043285.1	0	5	6	28	2	4	15	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Enterobacteriaceae incertae sedis, ant, tsetse, mealybug, aphid, etc. endosymbionts, ant endosymbionts, Candidatus Blochmannia floridanus
GCF_001559115.1	0	28	10	144	11	5	120	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus simulans
GCF_000993785.2	0	85	11	336	10	17	135	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces xiamenensis
GCF_000317615.1	0	48	12	152	3	2	77	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Dactylococcopsis, Dactylococcopsis salina PCC 8305
GCF_000007785.1	0	0	14	0	164	0	0	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus, Enterococcus faecalis V583
GCF_000801315.1	0	80	13	170	3	6	58	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Hymenobacteraceae, Hymenobacter, Hymenobacter sp. DG25B
GCF_000524555.1	0	4	2	40	1	0	7	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Mycoplasma, Mycoplasma bovoculi M165/69
GCF_000831485.1	0	24	6	163	10	5	101	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus iniae
GCF_001274895.1	0	40	10	169	5	12	66	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium, Corynebacterium lactis RW2-5
GCF_001606005.1	0	47	15	230	6	4	127	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Brevibacteriaceae, Brevibacterium linens
GCF_000350305.1	0	31	5	54	1	2	16	Archaea, Euryarchaeota, Diaforarchaea group, Thermoplasmata, Thermoplasmatales, Thermoplasmatales archaeon BRNA1
GCF_000237205.1	0	67	6	104	3	11	51	Bacteria, PVC group, Chlamydiae, Chlamydiia, Parachlamydiales, Simkaniaceae, Simkania, Simkania negevensis Z
GCF_000014125.1	0	38	3	145	3	2	81	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium novyi NT
GCF_001314225.1	0	84	21	375	7	9	102	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Microbacteriaceae, Microbacterium, Microbacterium sp. No. 7
GCF_000233435.1	0	6	5	23	1	0	13	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Blattabacteriaceae, Blattabacterium, unclassified Blattabacterium, Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR
GCF_000017245.1	0	39	25	171	8	14	145	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Actinobacillus, Actinobacillus succinogenes 130Z
GCF_001854245.1	0	67	33	272	3	9	88	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfobacterales, Desulfobacteraceae, Desulfococcus multivorans
GCF_000226625.1	0	41	8	98	5	4	77	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Taylorella, Taylorella asinigenitalis MCE3
GCF_000184705.1	0	42	6	173	1	1	74	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiales incertae sedis, Clostridiales Family XVII. Incertae Sedis, Thermaerobacter, Thermaerobacter marianensis DSM 12885
GCF_000767465.1	0	104	22	287	12	13	111	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, Novosphingobium pentaromativorans US6-1
GCF_000964565.1	0	58	49	159	8	20	301	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia ruckeri
GCF_000009545.1	0	22	5	143	10	5	99	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus uberis 0140J
GCF_001483385.1	0	70	7	123	2	4	39	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Tenacibaculum dicentrarchi
GCF_001314325.1	0	96	27	284	7	17	110	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingopyxis macrogoltabida
GCF_000024725.1	0	56	10	225	9	7	70	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Nitrosococcus, Nitrosococcus halophilus Nc 4
GCF_000230695.2	0	81	23	248	7	11	110	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Rhodanobacteraceae, Rhodanobacter denitrificans
GCF_001698145.1	0	22	8	119	8	6	98	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Leuconostoc lactis
GCF_001460635.1	0	47	13	100	4	6	36	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter typhlonius
GCF_000020985.1	0	0	12	0	40	0	0	Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Thermodesulfovibrio, Thermodesulfovibrio yellowstonii DSM 11347
GCF_000020905.1	0	27	0	100	1	0	8	Archaea, TACK group, Crenarchaeota, Thermoprotei, Desulfurococcales, Desulfurococcaceae, Desulfurococcus, Desulfurococcus amylolyticus 1221n
GCF_000196835.1	0	0	32	0	182	0	0	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Amycolatopsis, Amycolatopsis mediterranei U32
GCF_000018365.1	0	34	4	121	2	3	30	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus, Thermococcus onnurineus NA1
GCF_000147695.2	0	39	6	147	10	3	86	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Thermoanaerobacter, Thermoanaerobacter wiegelii Rt8.B1
GCF_000317795.1	0	35	1	75	0	5	6	Archaea, TACK group, Crenarchaeota, Thermoprotei, Acidilobales, Caldisphaeraceae, Caldisphaera, Caldisphaera lagunensis DSM 15908
GCF_000612485.1	0	97	11	310	7	13	108	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella, Bordetella holmesii ATCC 51541
GCF_000316515.1	0	55	9	153	6	5	73	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Cyanobium, Cyanobium gracile PCC 6307
GCF_000473305.1	0	65	6	120	2	4	40	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidales bacterium CF
GCF_000317085.1	0	38	13	157	5	7	79	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus, Synechococcus sp. PCC 7502
GCF_000014465.1	0	19	11	149	8	5	110	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus brevis ATCC 367
GCF_000013165.1	0	14	3	46	0	1	17	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Neorickettsia, Neorickettsia sennetsu str. Miyayama
GCF_000068585.1	0	0	10	0	33	0	0	Bacteria, PVC group, Chlamydiae, Chlamydiia, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia, Chlamydia trachomatis 434/Bu
GCF_000271665.2	0	77	9	403	9	9	211	Bacteria, Terrabacteria group, Firmicutes, Negativicutes, Selenomonadales, Sporomusaceae, Pelosinus, Pelosinus fermentans JBW45
GCF_001648175.1	0	87	16	358	16	21	226	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halotalea alkalilenta
GCF_000819565.1	0	152	15	481	12	13	123	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Celeribacter indicus
GCF_000970085.1	0	50	9	248	7	1	69	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanosarcina, Methanosarcina siciliae T4/M
GCF_000022605.2	0	7	2	28	1	1	12	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Blattabacteriaceae, Blattabacterium, unclassified Blattabacterium, Blattabacterium sp. (Blattella germanica) str. Bge
GCF_000742835.1	0	37	9	98	8	4	45	Bacteria, Proteobacteria, Alphaproteobacteria, Holosporales, Candidatus Paracaedibacteraceae, Candidatus Paracaedibacter acanthamoebae
GCF_000816345.1	0	29	10	113	3	6	47	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter, Campylobacter volucris LMG 24379
GCF_000022905.1	0	36	9	176	4	7	92	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium, Corynebacterium aurimucosum ATCC 700975
GCF_000019665.1	0	38	7	124	7	2	30	Bacteria, PVC group, Verrucomicrobia, Methylacidiphilae, Methylacidiphilales, Methylacidiphilaceae, Methylacidiphilum, Methylacidiphilum infernorum V4
GCF_000009905.1	0	39	9	281	7	5	79	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Symbiobacteriaceae, Symbiobacterium, Symbiobacterium thermophilum IAM 14863
GCF_000319385.1	0	11	8	57	4	1	17	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Candidatus Endolissoclinum, Candidatus Endolissoclinum faulkneri L2
GCF_000023285.1	0	64	15	130	1	3	39	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, Capnocytophaga ochracea DSM 7271
GCF_000283575.1	0	64	3	255	4	6	70	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Oscillospiraceae, Oscillibacter, Oscillibacter valericigenes Sjm18-20
GCF_001275345.1	0	34	8	152	9	7	94	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Kocuria palustris
GCF_000017405.1	0	84	25	551	11	21	267	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Ochrobactrum, Ochrobactrum anthropi ATCC 49188
GCF_000235565.1	0	37	4	106	5	6	20	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanotrichaceae, Methanothrix, Methanosaeta harundinacea 6Ac
GCF_000174395.2	0	0	13	0	157	0	0	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus, Enterococcus faecium DO
GCF_000525675.1	0	51	10	125	5	3	47	Bacteria, Proteobacteria, Oligoflexia, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, Bdellovibrio bacteriovorus W
GCF_001267925.1	0	91	18	499	8	11	208	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Herbaspirillum, Herbaspirillum hiltneri N3
GCF_000046705.1	0	0	8	0	44	0	0	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bartonellaceae, Bartonella, Bartonella henselae str. Houston-1
GCF_000698785.1	0	47	4	64	0	0	12	Archaea, TACK group, Thaumarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaera, Nitrososphaera viennensis EN76
GCF_000255535.1	0	124	57	402	15	32	426	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Rahnella, Rahnella aquatilis HX2
GCF_001444405.1	0	112	13	286	8	11	104	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas phenolica
GCF_000024085.1	0	47	16	166	6	7	76	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Kangiellaceae, Kangiella, Kangiella koreensis DSM 16069
GCF_000266905.1	0	107	31	276	6	10	131	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium, Mycolicibacterium chubuense NBB4
GCF_000006685.1	0	26	5	57	3	7	30	Bacteria, PVC group, Chlamydiae, Chlamydiia, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia, Chlamydia muridarum str. Nigg
GCF_000754265.1	0	5	7	22	2	3	23	Bacteria, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria incertae sedis, Candidatus Baumannia cicadellinicola
GCF_000217795.1	0	39	12	150	4	4	34	Bacteria, Thermodesulfobacteria, Thermodesulfobacteria, Thermodesulfobacteriales, Thermodesulfobacteriaceae, Thermodesulfatator, Thermodesulfatator indicus DSM 15286
GCF_001702135.1	0	14	5	84	4	3	48	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus lindneri
GCF_001553605.1	0	84	23	223	10	5	68	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio fairfieldensis
GCF_000517445.1	0	49	4	116	3	5	41	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus paralvinellae
GCF_000014525.1	0	0	11	0	129	0	0	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus casei group, Lactobacillus paracasei ATCC 334
GCF_000599985.1	0	91	19	150	6	20	156	Bacteria, Proteobacteria, Gammaproteobacteria, Orbales, Orbaceae, Gilliamella apicola
GCF_000327045.1	0	57	9	231	10	5	75	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Thioflavicoccus, Thioflavicoccus mobilis 8321
GCF_000195755.1	0	0	32	0	84	0	0	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio, Desulfovibrio vulgaris str. Hildenborough
GCF_000214665.1	0	92	13	263	7	11	98	Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas, Methylomonas methanica MC09
GCF_000757785.1	0	143	65	242	13	38	467	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Pluralibacter gergoviae
GCF_001902315.1	0	42	9	164	5	8	158	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus succinus
GCF_000180175.2	0	34	17	147	9	11	122	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Plautia stali symbiont
GCF_000242595.2	0	65	8	187	8	2	56	Bacteria, Spirochaetes, Spirochaetia, Spirochaetales, Spirochaetaceae, Spirochaeta, Spirochaeta africana DSM 8902
GCF_000023725.1	0	54	9	117	2	6	38	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacteriaceae bacterium 3519-10
GCF_000223905.1	0	77	13	254	3	7	42	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Haloarculaceae, Haloarcula, Haloarcula hispanica ATCC 33960
GCF_000225465.1	0	9	4	17	1	2	9	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Buchnera, Buchnera aphidicola, Buchnera aphidicola str. Ua (Uroleucon ambrosiae)
GCF_000441555.1	0	4	1	13	1	1	2	Bacteria, Proteobacteria, Betaproteobacteria, Betaproteobacteria incertae sedis, Candidatus Profftella armatura
GCF_000455605.1	0	72	15	109	1	5	45	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, Flavobacterium indicum GPTSA100-9 = DSM 17447
GCF_001443605.1	0	121	9	152	1	10	48	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Marinilabiliales, Salinivirgaceae, Salinivirga cyanobacteriivorans
GCF_000725405.1	0	49	17	147	6	7	71	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Dermacoccaceae, Dermacoccus nishinomiyaensis
GCF_000092865.1	0	53	11	229	6	7	57	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Cellulomonadaceae, Cellulomonas, Cellulomonas flavigena DSM 20109
GCF_000568815.1	0	82	17	235	2	7	79	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Sulfurospirillum, Sulfurospirillum multivorans DSM 12446
GCF_000175095.2	0	47	14	151	8	10	67	Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Nitrosomonadaceae, Nitrosomonas, Nitrosomonas sp. AL212
GCF_000470775.1	0	20	3	136	5	3	33	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Microbacteriaceae, Leifsonia, Leifsonia xyli, Leifsonia xyli subsp. cynodontis DSM 46306
GCF_000010525.1	0	91	29	580	9	13	187	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Azorhizobium, Azorhizobium caulinodans ORS 571
GCF_000014285.1	0	32	8	165	6	1	58	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Granulibacter, Granulibacter bethesdensis CGDNIH1
GCF_000092225.1	0	63	15	262	3	12	100	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Tsukamurellaceae, Tsukamurella, Tsukamurella paurometabola DSM 20162
GCF_000294715.1	0	25	6	93	2	1	36	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bartonellaceae, Bartonella, Bartonella quintana RM-11
